14:22:19.553 -> boot
14:22:19.553 -> Start receiveer
14:22:19.624 -> ATTACH
14:22:19.624 -> 1
14:22:19.624 -> Listening on frequency: 915.00
14:59:56.216 -> request: Hello, node 2, message 3384, msg time 1599375818, tx time 404 ms, battery 357 v, temp 1178 C, humidity 9602 %, status 0x00, RSSI -107 dBm, SNR 5 dB, good/bad packets: 119/91
15:00:17.245 -> request: Hello, node 2, message 3385, msg time 1599375839, tx time 403 ms, battery 357 v, temp 1178 C, humidity 9604 %, status 0x00, RSSI -107 dBm, SNR 5 dB, good/bad packets: 120/92
15:00:38.242 -> request: Hello, node 2, message 3386, msg time 1599375860, tx time 402 ms, battery 357 v, temp 1177 C, humidity 9604 %, status 0x00, RSSI -106 dBm, SNR 6 dB, good/bad packets: 121/92
15:00:59.245 -> request: Hello, node 2, message 3387, msg time 1599375881, tx time 404 ms, battery 357 v, temp 1175 C, humidity 9606 %, status 0x00, RSSI -107 dBm, SNR 6 dB, good/bad packets: 122/93
15:01:20.238 -> request: Hello, node 2, message 3388, msg time 1599375902, tx time 402 ms, battery 357 v, temp 1174 C, humidity 9606 %, status 0x00, RSSI -106 dBm, SNR 5 dB, good/bad packets: 123/93
15:01:41.243 -> request: Hello, node 2, message 3389, msg time 1599375923, tx time 402 ms, battery 357 v, temp 1174 C, humidity 9604 %, status 0x00, RSSI -107 dBm, SNR 6 dB, good/bad packets: 124/94
15:02:02.232 -> request: Hello, node 2, message 3390, msg time 1599375944, tx time 402 ms, battery 357 v, temp 1174 C, humidity 9608 %, status 0x00, RSSI -107 dBm, SNR 5 dB, good/bad packets: 125/95
15:02:23.248 -> request: Hello, node 2, message 3391, msg time 1599375965, tx time 404 ms, battery 357 v, temp 1173 C, humidity 9607 %, status 0x00, RSSI -106 dBm, SNR 6 dB, good/bad packets: 126/97
15:02:44.261 -> request: Hello, node 2, message 3392, msg time 1599375986, tx time 404 ms, battery 357 v, temp 1173 C, humidity 9610 %, status 0x00, RSSI -107 dBm, SNR 6 dB, good/bad packets: 127/97
15:03:05.215 -> request: Hello, node 2, message 3393, msg time 1599376007, tx time 403 ms, battery 357 v, temp 1171 C, humidity 9610 %, status 0x00, RSSI -106 dBm, SNR 6 dB, good/bad packets: 128/98
15:03:26.219 -> request: Hello, node 2, message 3394, msg time 1599376028, tx time 402 ms, battery 357 v, temp 1171 C, humidity 9612 %, status 0x00, RSSI -106 dBm, SNR 6 dB, good/bad packets: 129/99
