Start receiveer
Listening on frequency: 915.00
Hello, node 3, message 74, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 138/3
Hello, node 2, message 67, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 139/3
Hello, node 3, message 75, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 140/3
Hello, node 2, message 68, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 141/3
Hello, node 3, message 76, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 142/3
Hello, node 2, message 69, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 143/3
Hello, node 3, message 77, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 144/3
Hello, node 2, message 70, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 145/3
Hello, node 3, message 78, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 146/3
Hello, node 2, message 71, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 147/3
Hello, node 3, message 79, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 148/3
Hello, node 2, message 72, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 149/3
Hello, node 3, message 80, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 150/3
Hello, node 2, message 73, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 151/3
Hello, node 3, message 81, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 152/3
Hello, node 2, message 74, tx time 403 ms, battery 339, RSSI-38 dBm, SNR 10 dB, good/bad packets: 153/3
Hello, node 3, message 82, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 154/3
Hello, node 2, message 75, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 155/3
Hello, node 3, message 83, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 156/3
