Hello, node 2, message 27650, msg time 1599886303, tx time 403 ms, battery 357 v, temp 1695 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60811/1770
Hello, node 2, message 27651, msg time 1599886324, tx time 403 ms, battery 357 v, temp 1698 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60812/1770
Hello, node 2, message 27652, msg time 1599886345, tx time 404 ms, battery 357 v, temp 1700 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60813/1770
Hello, node 2, message 27653, msg time 1599886366, tx time 404 ms, battery 356 v, temp 1702 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60814/1770
Hello, node 2, message 27654, msg time 1599886387, tx time 402 ms, battery 357 v, temp 1702 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60815/1770
Hello, node 2, message 27655, msg time 1599886408, tx time 402 ms, battery 357 v, temp 1704 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60816/1770
Hello, node 2, message 27656, msg time 1599886429, tx time 402 ms, battery 356 v, temp 1708 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60817/1770
Hello, node 2, message 27657, msg time 1599886450, tx time 402 ms, battery 357 v, temp 1706 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60818/1770
Hello, node 2, message 27658, msg time 1599886471, tx time 404 ms, battery 357 v, temp 1708 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60819/1770
Hello, node 2, message 27659, msg time 1599886492, tx time 404 ms, battery 357 v, temp 1712 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60820/1770
Hello, node 2, message 27660, msg time 1599886513, tx time 404 ms, battery 357 v, temp 1709 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60821/1770
Hello, node 2, message 27661, msg time 1599886534, tx time 402 ms, battery 357 v, temp 1710 C, humidity 7803 %, status 0x00, RSSI -90 dBm, SNR 9 dB, good/bad packets: 60822/1770
Hello, node 2, message 27662, msg time 1599886555, tx time 402 ms, battery 356 v, temp 1712 C, humidity 7805 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60823/1770
