Hello, node 2, message 9, msg time 1599304816, tx time 404 ms, battery 334 v, temp 2447 C, humidity 2821 %, status 0x00, RSSI -47 dBm, SNR 9 dB, good/bad packets: 14908/1150
Hello, node 1, message 6437, msg time 1598875878, tx time 403 ms, battery 355 v, temp 2515 C, humidity 2740 %, status 0x00, RSSI -61 dBm, SNR 10 dB, good/bad packets: 14909/1150
Hello, node 2, message 10, msg time 1599304837, tx time 403 ms, battery 52 v, temp 2450 C, humidity 2821 %, status 0x00, RSSI -45 dBm, SNR 9 dB, good/bad packets: 14910/1150
Hello, node 1, message 6438, msg time 1598875899, tx time 404 ms, battery 355 v, temp 2517 C, humidity 2743 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14911/1150
Hello, node 2, message 11, msg time 1599304858, tx time 403 ms, battery 236 v, temp 2450 C, humidity 2828 %, status 0x00, RSSI -44 dBm, SNR 9 dB, good/bad packets: 14912/1150
Hello, node 1, message 6439, msg time 1598875920, tx time 403 ms, battery 355 v, temp 2519 C, humidity 2740 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14913/1150
Hello, node 2, message 12, msg time 1599304879, tx time 404 ms, battery 282 v, temp 2447 C, humidity 2831 %, status 0x00, RSSI -47 dBm, SNR 9 dB, good/bad packets: 14914/1150
Hello, node 1, message 6440, msg time 1598875941, tx time 404 ms, battery 355 v, temp 2519 C, humidity 2745 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14915/1150
Hello, node 2, message 13, msg time 1599304900, tx time 404 ms, battery 82 v, temp 2447 C, humidity 2828 %, status 0x00, RSSI -45 dBm, SNR 9 dB, good/bad packets: 14916/1150
Hello, node 1, message 6441, msg time 1598875962, tx time 404 ms, battery 355 v, temp 2520 C, humidity 2739 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14917/1150
Hello, node 2, message 14, msg time 1599304921, tx time 403 ms, battery 376 v, temp 2449 C, humidity 2825 %, status 0x00, RSSI -44 dBm, SNR 9 dB, good/bad packets: 14918/1150
