17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:47:01.449 -> Hello, node 2, message 8, tx time 404 ms, battery 341, RSSI -111 dBm, SNR 6 dB, good/bad packets: 370/5
17:47:04.456 -> Hello, node 2, message 1, tx time 0 ms, battery 341, RSSI -107 dBm, SNR 8 dB, good/bad packets: 371/6
17:47:10.548 -> Hello, node 2, message 2, tx time 404 ms, battery 341, RSSI -92 dBm, SNR 9 dB, good/bad packets: 373/6
17:47:16.608 -> Hello, node 2, message 3, tx time 403 ms, battery 341, RSSI -85 dBm, SNR 9 dB, good/bad packets: 375/6
17:47:22.694 -> Hello, node 2, message 4, tx time 403 ms, battery 341, RSSI -81 dBm, SNR 10 dB, good/bad packets: 377/6
17:47:27.449 -> Hello, node 2, message 1, tx time 0 ms, battery 341, RSSI -87 dBm, SNR 9 dB, good/bad packets: 379/6
17:47:33.523 -> Hello, node 2, message 2, tx time 404 ms, battery 341, RSSI -89 dBm, SNR 9 dB, good/bad packets: 381/6
17:47:39.601 -> Hello, node 2, message 3, tx time 403 ms, battery 341, RSSI -83 dBm, SNR 9 dB, good/bad packets: 383/6
17:47:45.649 -> Hello, node 2, message 4, tx time 403 ms, battery 341, RSSI -84 dBm, SNR 9 dB, good/bad packets: 385/6
17:47:51.733 -> Hello, node 2, message 5, tx time 403 ms, battery 341, RSSI -83 dBm, SNR 9 dB, good/bad packets: 387/6
17:47:57.812 -> Hello, node 2, message 6, tx time 404 ms, battery 341, RSSI -82 dBm, SNR 9 dB, good/bad packets: 389/6
